predicted_label,predicted_probability,confidence,actual_label,risk_level,education_level,employment_type,no_of_dependents,income_annum,loan_amount,loan_term_years,cibil_score,total_assets,dti_ratio,estimated_monthly_payment,pti_ratio,loan_term_months,feat_no_of_dependents,feat_education,feat_self_employed,feat_income_annum,feat_loan_amount,feat_loan_term,feat_cibil_score,feat_residential_assets_value,feat_commercial_assets_value,feat_luxury_assets_value,feat_bank_asset_value,feat_has_debt
Approved,0.99479,HIGH,Approved,LOW,Graduate,Self-Employed,4,9000000.0,18100000.0,12,764,49500000.0,2.011111,216309.16,0.288412,144,4.0,0.9999999403953552,1.0,9000000.0,18100000.0,12.0,764.0,599999.6875,16500000.0,20800000.0,11600000.0,8.166215620386552e-11
Approved,0.988575,HIGH,Approved,LOW,Graduate,Salaried,1,7200000.0,24900000.0,14,666,37600000.0,3.458333,275942.47,0.459904,168,1.0,0.9999999403953552,-1.2926308912142304e-08,7200000.0,24900000.0,14.0,666.0,3600000.0,11600000.0,16600000.0,5800000.0,8.166215620386552e-11
Approved,0.990297,HIGH,Approved,LOW,Not Graduate,Salaried,1,8100000.0,29600000.0,4,672,39800000.0,3.654321,750732.4,1.112196,48,1.0,-1.3684332778041153e-08,-1.2926308912142304e-08,8100000.0,29600000.0,4.0,672.0,8200000.0,5100000.0,21100000.0,5400000.0,8.166215620386552e-11
Rejected,0.004869,HIGH,Rejected,HIGH,Graduate,Self-Employed,1,4700000.0,18700000.0,20,445,17200000.0,3.978723,180459.05,0.460747,240,1.0,0.9999999403953552,1.0,4700000.0,18700000.0,20.0,445.0,2100000.25,-0.1017402932047844,11100000.0,4000000.0,8.166215620386552e-11
Approved,0.647307,MEDIUM,Approved,LOW,Not Graduate,Salaried,0,5000000.0,14400000.0,2,761,24300000.0,2.88,664486.9,1.594768,24,1.353272836013275e-07,-1.3684332778041153e-08,-1.2926308912142304e-08,5000000.0,14400000.0,2.000000238418579,761.0,-99999.828125,7300000.0,12600000.0,4500000.0,1.0
Rejected,0.116673,HIGH,Rejected,HIGH,Not Graduate,Salaried,2,4300000.0,9800000.0,2,499,26600000.0,2.27907,452220.25,1.26201,24,2.0,-1.3684332778041153e-08,-1.2926308912142304e-08,4300000.0,9800000.0,2.000000238418579,499.0,4400000.0,4500000.0,12600000.0,5100000.0,8.166215620386552e-11
Rejected,0.001639,HIGH,Rejected,HIGH,Not Graduate,Salaried,3,1300000.25,3099999.75,14,348,6600000.0,2.384615,34354.28,0.317116,168,3.0,-1.3684332778041153e-08,-1.2926308912142304e-08,1300000.25,3099999.75,14.0,348.0,1499999.625,599999.875,3900000.25,600000.1875,8.166215620386552e-11
Approved,0.994511,HIGH,Approved,LOW,Not Graduate,Salaried,5,5700000.0,12900000.0,18,807,29100000.0,2.263158,128979.84,0.271536,216,5.0,-1.3684332778041153e-08,-1.2926308912142304e-08,5700000.0,12900000.0,18.0,807.0,4100000.0,899999.875,18600000.0,5500000.0,8.166215620386552e-11
Rejected,0.0042,HIGH,Rejected,HIGH,Not Graduate,Self-Employed,3,1500000.0,5800001.0,18,420,8200000.0,3.866667,57990.94,0.463928,216,3.0,-1.3684332778041153e-08,1.0,1500000.0,5800001.0,18.0,420.0,799999.6875,1900000.125,4100000.25,1400000.0,8.166215620386552e-11
Approved,0.988829,HIGH,Approved,LOW,Graduate,Self-Employed,2,3800000.0,11400000.0,16,666,23200000.0,3.0,119232.83,0.376525,192,2.0,0.9999999403953552,1.0,3800000.0,11400000.0,16.0,666.0,9000000.0,2400000.0,8000000.5,3800000.0,8.166215620386552e-11
Rejected,0.020088,HIGH,Rejected,HIGH,Not Graduate,Salaried,0,6400000.0,14000000.0,8,486,45400000.0,2.1875,212438.3,0.398322,96,1.353272836013275e-07,-1.3684332778041153e-08,-1.2926308912142304e-08,6400000.0,14000000.0,8.0,486.0,5100000.0,12700000.0,23900000.0,3700000.0,8.166215620386552e-11
Approved,0.996687,HIGH,Approved,LOW,Graduate,Self-Employed,2,8700000.0,19900000.0,10,829,46600000.0,2.287356,262979.97,0.362731,120,2.0,0.9999999403953552,1.0,8700000.0,19900000.0,10.0,829.0,7500000.0,10500000.0,20200000.0,8400000.0,8.166215620386552e-11
Approved,0.986185,HIGH,Approved,LOW,Not Graduate,Salaried,3,9700000.0,37800000.0,12,700,57200000.0,3.896907,451739.56,0.558853,144,3.0,-1.3684332778041153e-08,-1.2926308912142304e-08,9700000.0,37800000.0,12.0,700.0,13400000.0,6100000.0,25800000.0,11900000.0,8.166215620386552e-11
Rejected,0.059166,HIGH,Approved,HIGH,Graduate,Salaried,4,2700000.0,8100000.0,4,325,19100000.0,3.0,205436.94,0.913053,48,4.0,0.9999999403953552,-1.2926308912142304e-08,2700000.0,8100000.0,4.0,325.0,5000000.0,800000.125,9900000.0,3400000.0,8.166215620386552e-11
Rejected,0.167825,HIGH,Approved,HIGH,Graduate,Self-Employed,3,8700000.0,29300000.0,4,312,46700000.0,3.367816,743123.7,1.024998,48,3.0,0.9999999403953552,1.0,8700000.0,29300000.0,4.0,312.0,9000000.0,2800000.25,30000000.0,4900000.0,8.166215620386552e-11
Approved,0.99194,HIGH,Approved,LOW,Graduate,Salaried,2,9000000.0,31000000.0,14,670,70700000.0,3.444444,343542.84,0.458057,168,2.0,0.9999999403953552,-1.2926308912142304e-08,9000000.0,31000000.0,14.0,670.0,21300000.0,5400000.0,31100000.0,12900000.0,8.166215620386552e-11
Rejected,0.017079,HIGH,Rejected,HIGH,Graduate,Salaried,0,1300000.25,3399999.75,10,464,6300000.0,2.615384,44931.25,0.41475,120,1.353272836013275e-07,0.9999999403953552,-1.2926308912142304e-08,1300000.25,3399999.75,10.0,464.0,1200000.125,199999.890625,3500000.25,1400000.0,8.166215620386552e-11
Approved,0.993733,HIGH,Approved,LOW,Graduate,Salaried,5,5800000.0,17500000.0,10,719,23200000.0,3.017242,231263.8,0.478477,120,5.0,0.9999999403953552,-1.2926308912142304e-08,5800000.0,17500000.0,10.0,719.0,5800000.0,1900000.125,12400000.0,3100000.0,8.166215620386552e-11
Approved,0.995126,HIGH,Approved,LOW,Graduate,Salaried,3,8300000.0,29100000.0,10,715,54000000.0,3.506024,384558.62,0.555988,120,3.0,0.9999999403953552,-1.2926308912142304e-08,8300000.0,29100000.0,10.0,715.0,6100000.0,11900000.0,24100000.0,11900000.0,8.166215620386552e-11
Rejected,0.003961,HIGH,Rejected,HIGH,Not Graduate,Self-Employed,3,9400000.0,24600000.0,10,414,51600000.0,2.617021,325090.8,0.41501,120,3.0,-1.3684332778041153e-08,1.0,9400000.0,24600000.0,10.0,414.0,8800000.0,13400000.0,23800000.0,5600000.0,8.166215620386552e-11
Rejected,0.014756,HIGH,Rejected,HIGH,Graduate,Self-Employed,5,900000.1875,1799999.75,14,464,5100000.0,1.999999,19947.65,0.265969,168,5.0,0.9999999403953552,1.0,900000.1875,1799999.75,14.0,464.0,2300000.25,300000.40625,1799999.375,700000.1875,8.166215620386552e-11
Rejected,0.048287,HIGH,Rejected,HIGH,Not Graduate,Salaried,4,6300000.0,13400000.0,2,504,45300000.0,2.126984,618342.0,1.177794,24,4.0,-1.3684332778041153e-08,-1.2926308912142304e-08,6300000.0,13400000.0,2.000000238418579,504.0,10500000.0,10900000.0,14500000.0,9400000.0,8.166215620386552e-11
Approved,0.995744,HIGH,Approved,LOW,Graduate,Salaried,4,2400000.25,6000000.0,6,712,16200000.0,2.5,111155.02,0.555775,72,4.0,0.9999999403953552,-1.2926308912142304e-08,2400000.25,6000000.0,6.0,712.0,6800000.0,2200000.25,6000000.5,1200000.0,8.166215620386552e-11
Rejected,0.38721,MEDIUM,Approved,HIGH,Not Graduate,Salaried,5,2000000.0,6100000.0,2,407,10400000.0,3.05,281484.03,1.688904,24,5.0,-1.3684332778041153e-08,-1.2926308912142304e-08,2000000.0,6100000.0,2.000000238418579,407.0,1900000.125,1900000.125,4599999.5,2000000.25,8.166215620386552e-11
Rejected,0.004822,HIGH,Rejected,HIGH,Not Graduate,Self-Employed,1,7100000.0,20800000.0,20,437,50400000.0,2.929577,200724.5,0.339253,240,1.0,-1.3684332778041153e-08,1.0,7100000.0,20800000.0,20.0,437.0,9600000.0,7300000.0,24700000.0,8800000.0,8.166215620386552e-11
Approved,0.985811,HIGH,Approved,LOW,Not Graduate,Self-Employed,1,3500000.0,10800000.0,14,632,23500000.0,3.085714,119685.89,0.410352,168,1.0,-1.3684332778041153e-08,1.0,3500000.0,10800000.0,14.0,632.0,6900000.0,1499999.875,10900000.0,4200000.0,8.166215620386552e-11
Approved,0.997813,HIGH,Approved,LOW,Not Graduate,Salaried,4,4500000.0,15300000.0,10,843,33100000.0,3.4,202190.64,0.539175,120,4.0,-1.3684332778041153e-08,-1.2926308912142304e-08,4500000.0,15300000.0,10.0,843.0,13200000.0,6900000.0,10800000.0,2200000.0,8.166215620386552e-11
Rejected,0.25847,MEDIUM,Approved,HIGH,Not Graduate,Salaried,5,8800000.0,29300000.0,10,560,71700000.0,3.329546,387201.62,0.528002,120,5.0,-1.3684332778041153e-08,-1.2926308912142304e-08,8800000.0,29300000.0,10.0,560.0,16800000.0,13900000.0,31100000.0,9900000.0,8.166215620386552e-11
Approved,0.994719,HIGH,Approved,LOW,Not Graduate,Salaried,3,7500000.0,22200000.0,8,741,42100000.0,2.96,336866.44,0.538986,96,3.0,-1.3684332778041153e-08,-1.2926308912142304e-08,7500000.0,22200000.0,8.0,741.0,6600000.0,6900000.0,17600000.0,11000000.0,8.166215620386552e-11
Approved,0.555448,MEDIUM,Approved,LOW,Graduate,Self-Employed,2,600000.1875,2099999.75,18,572,2599999.25,3.499998,20996.72,0.419934,216,2.0,0.9999999403953552,1.0,600000.1875,2099999.75,18.0,572.0,399999.65625,499999.90625,1399999.375,300000.21875,8.166215620386552e-11
Rejected,0.164531,HIGH,Approved,HIGH,Graduate,Self-Employed,1,2100000.25,4200001.0,18,554,12100001.0,2.0,41993.44,0.239963,216,1.0,0.9999999403953552,1.0,2100000.25,4200001.0,18.0,554.0,3400000.25,800000.125,6400000.5,1500000.0,8.166215620386552e-11
Rejected,0.017963,HIGH,Rejected,HIGH,Graduate,Salaried,0,7800000.0,28800000.0,12,465,48400000.0,3.692308,344182.53,0.529512,144,1.353272836013275e-07,0.9999999403953552,-1.2926308912142304e-08,7800000.0,28800000.0,12.0,465.0,4700000.0,7500000.0,28800000.0,7400000.0,8.166215620386552e-11
Approved,0.981993,HIGH,Approved,LOW,Graduate,Self-Employed,2,2000000.0,6700000.0,14,638,12300000.0,3.35,74249.58,0.445497,168,2.0,0.9999999403953552,1.0,2000000.0,6700000.0,14.0,638.0,4900000.0,199999.890625,4900000.5,2300000.0,8.166215620386552e-11
Approved,0.994672,HIGH,Approved,LOW,Graduate,Self-Employed,1,6500000.0,18300000.0,10,722,44200000.0,2.815385,241835.86,0.446466,120,1.0,0.9999999403953552,1.0,6500000.0,18300000.0,10.0,722.0,11900000.0,8600000.0,19200000.0,4500000.0,8.166215620386552e-11
Approved,0.986882,HIGH,Approved,LOW,Not Graduate,Salaried,1,800000.1875,2899999.75,8,682,6900001.0,3.624999,44005.07,0.660076,96,1.0,-1.3684332778041153e-08,-1.2926308912142304e-08,800000.1875,2899999.75,8.0,682.0,2200000.25,1100000.125,2900000.25,700000.1875,8.166215620386552e-11
Rejected,0.002162,HIGH,Rejected,HIGH,Not Graduate,Self-Employed,4,6600000.0,18800000.0,10,353,52200000.0,2.848485,248443.4,0.451715,120,4.0,-1.3684332778041153e-08,1.0,6600000.0,18800000.0,10.0,353.0,16500000.0,9500000.0,20000000.0,6200000.0,8.166215620386552e-11
Approved,0.99323,HIGH,Approved,LOW,Not Graduate,Self-Employed,3,5400000.0,14400000.0,8,677,42800000.0,2.666667,218507.95,0.485573,96,3.0,-1.3684332778041153e-08,1.0,5400000.0,14400000.0,8.0,677.0,11000000.0,7900000.0,20800000.0,3100000.0,8.166215620386552e-11
Approved,0.995497,HIGH,Approved,LOW,Not Graduate,Self-Employed,2,9900000.0,33399998.0,14,783,63200000.0,3.373737,370139.7,0.448654,168,2.0,-1.3684332778041153e-08,1.0,9900000.0,33399998.0,14.0,783.0,16600000.0,16100001.0,21000000.0,9500000.0,8.166215620386552e-11
Approved,0.996852,HIGH,Approved,LOW,Not Graduate,Salaried,2,6600000.0,13100000.0,20,885,42000000.0,1.984848,126417.84,0.229851,240,2.0,-1.3684332778041153e-08,-1.2926308912142304e-08,6600000.0,13100000.0,20.0,885.0,10900000.0,4300000.0,20600000.0,6200000.0,8.166215620386552e-11
Rejected,0.012057,HIGH,Rejected,HIGH,Not Graduate,Salaried,5,500000.1875,1199999.75,12,454,3200000.0,2.399999,14340.94,0.344182,144,5.0,-1.3684332778041153e-08,-1.2926308912142304e-08,500000.1875,1199999.75,12.0,454.0,1399999.625,499999.90625,1000000.3125,300000.21875,8.166215620386552e-11
Rejected,0.110694,HIGH,Rejected,HIGH,Graduate,Salaried,5,9700000.0,28400000.0,4,494,51700000.0,2.927835,720297.4,0.89109,48,5.0,0.9999999403953552,-1.2926308912142304e-08,9700000.0,28400000.0,4.0,494.0,5300000.0,12000000.0,24400000.0,10000000.0,8.166215620386552e-11
Rejected,0.003678,HIGH,Rejected,HIGH,Graduate,Salaried,4,1900000.0,4000000.75,10,388,8400000.0,2.105264,52860.3,0.333855,120,4.0,0.9999999403953552,-1.2926308912142304e-08,1900000.0,4000000.75,10.0,388.0,500000.15625,1400000.125,5599999.5,899999.6875,8.166215620386552e-11
Rejected,0.012315,HIGH,Rejected,HIGH,Graduate,Salaried,2,8400000.0,23200000.0,16,476,47900000.0,2.761905,242649.23,0.346642,192,2.0,0.9999999403953552,-1.2926308912142304e-08,8400000.0,23200000.0,16.0,476.0,15200000.0,5400000.0,18700000.0,8600000.0,8.166215620386552e-11
Rejected,0.009422,HIGH,Rejected,HIGH,Graduate,Self-Employed,1,1700000.25,4500000.0,20,480,8100000.0,2.647058,43425.98,0.306536,240,1.0,0.9999999403953552,1.0,1700000.25,4500000.0,20.0,480.0,199999.671875,599999.875,5400000.5,1900000.0,8.166215620386552e-11
Rejected,0.029863,HIGH,Rejected,HIGH,Not Graduate,Self-Employed,4,2600000.0,5900000.0,6,471,16100001.0,2.269231,109302.44,0.504473,72,4.0,-1.3684332778041153e-08,1.0,2600000.0,5900000.0,6.0,471.0,3500000.25,1900000.125,7300000.5,3400000.0,8.166215620386552e-11
Approved,0.995307,HIGH,Approved,LOW,Graduate,Salaried,4,200000.203125,499999.78125,16,765,1400000.125,2.499996,5229.51,0.31377,192,4.0,0.9999999403953552,-1.2926308912142304e-08,200000.203125,499999.78125,16.0,765.0,599999.6875,99999.8984375,600000.3125,100000.2109375,8.166215620386552e-11
Approved,0.997598,HIGH,Approved,LOW,Graduate,Salaried,3,7600000.0,19100000.0,14,762,60600000.0,2.513158,211666.7,0.334211,168,3.0,0.9999999403953552,-1.2926308912142304e-08,7600000.0,19100000.0,14.0,762.0,14800000.0,15000000.0,23500000.0,7300000.0,8.166215620386552e-11
Rejected,0.008703,HIGH,Rejected,HIGH,Not Graduate,Salaried,2,2500000.0,8200000.0,10,429,13700000.0,3.28,108363.61,0.520145,120,2.0,-1.3684332778041153e-08,-1.2926308912142304e-08,2500000.0,8200000.0,10.0,429.0,1499999.625,4100000.0,5900000.5,2200000.0,8.166215620386552e-11
Rejected,0.030465,HIGH,Rejected,HIGH,Not Graduate,Salaried,2,1800000.0,5700000.0,14,502,8200000.0,3.166667,63167.56,0.421117,168,2.0,-1.3684332778041153e-08,-1.2926308912142304e-08,1800000.0,5700000.0,14.0,502.0,1399999.625,1100000.125,4400000.5,1300000.0,8.166215620386552e-11
Approved,0.995708,HIGH,Approved,LOW,Graduate,Self-Employed,3,2700000.0,6700000.0,14,899,14600000.0,2.481482,74249.58,0.329998,168,3.0,0.9999999403953552,1.0,2700000.0,6700000.0,14.0,899.0,2400000.25,4200000.0,6000000.5,2000000.25,8.166215620386552e-11
Rejected,0.000958,HIGH,Rejected,HIGH,Not Graduate,Salaried,2,7400000.0,16000000.0,20,358,53300000.0,2.162162,154403.47,0.250384,240,2.0,-1.3684332778041153e-08,-1.2926308912142304e-08,7400000.0,16000000.0,20.0,358.0,16700000.0,5500000.0,26800000.0,4300000.0,8.166215620386552e-11
Approved,0.962054,HIGH,Approved,LOW,Graduate,Self-Employed,3,3700000.0,12700000.0,18,587,27000000.0,3.432432,126980.16,0.411828,216,3.0,0.9999999403953552,1.0,3700000.0,12700000.0,18.0,587.0,11000000.0,3100000.0,8800000.0,4100000.0,8.166215620386552e-11
Approved,0.985114,HIGH,Approved,LOW,Not Graduate,Salaried,1,699999.6875,1399999.75,6,759,4800000.5,2.0,25936.16,0.44462,72,1.0,-1.3684332778041153e-08,-1.2926308912142304e-08,699999.6875,1399999.75,6.0,759.0,1000000.1875,499999.90625,2600000.25,700000.1875,8.166215620386552e-11
Rejected,0.001293,HIGH,Rejected,HIGH,Graduate,Salaried,4,6800000.0,24200000.0,18,349,44000000.0,3.558824,241962.19,0.426992,216,4.0,0.9999999403953552,-1.2926308912142304e-08,6800000.0,24200000.0,18.0,349.0,18800000.0,-0.1017402932047844,15800000.0,9400000.0,8.166215620386552e-11
Rejected,0.001595,HIGH,Rejected,HIGH,Not Graduate,Salaried,1,5000000.0,18800000.0,14,325,35900000.0,3.76,208342.1,0.500021,168,1.0,-1.3684332778041153e-08,-1.2926308912142304e-08,5000000.0,18800000.0,14.0,325.0,13100000.0,5700000.0,12800000.0,4300000.0,8.166215620386552e-11
Rejected,0.005547,HIGH,Rejected,HIGH,Not Graduate,Salaried,1,7200000.0,21000000.0,14,421,41500000.0,2.916667,232722.56,0.387871,168,1.0,-1.3684332778041153e-08,-1.2926308912142304e-08,7200000.0,21000000.0,14.0,421.0,3500000.25,11600000.0,21800000.0,4600000.0,8.166215620386552e-11
Rejected,0.001891,HIGH,Rejected,HIGH,Graduate,Self-Employed,2,8200000.0,28700000.0,14,316,61400000.0,3.5,318054.2,0.465445,168,2.0,0.9999999403953552,1.0,8200000.0,28700000.0,14.0,316.0,23300000.0,16100001.0,17700000.0,4300000.0,8.166215620386552e-11
Rejected,0.048751,HIGH,Rejected,HIGH,Not Graduate,Self-Employed,3,7200000.0,16500000.0,18,515,42000000.0,2.291667,164974.22,0.274957,216,3.0,-1.3684332778041153e-08,1.0,7200000.0,16500000.0,18.0,515.0,7800000.0,6300000.0,17300000.0,10600000.0,8.166215620386552e-11
Approved,0.984467,HIGH,Approved,LOW,Not Graduate,Self-Employed,3,999999.9375,2499999.75,6,808,6000000.0,2.5,46314.59,0.555775,72,3.0,-1.3684332778041153e-08,1.0,999999.9375,2499999.75,6.0,808.0,2899999.75,599999.875,2000000.375,500000.21875,8.166215620386552e-11
Approved,0.988505,HIGH,Approved,LOW,Not Graduate,Self-Employed,4,9800000.0,34100000.0,14,740,55600000.0,3.479592,377897.1,0.462731,168,4.0,-1.3684332778041153e-08,1.0,9800000.0,34100000.0,14.0,740.0,6500000.0,16900000.0,27100000.0,5100000.0,8.166215620386552e-11
Approved,0.989933,HIGH,Approved,LOW,Graduate,Salaried,0,3800000.0,13300000.0,6,655,20800000.0,3.5,246393.64,0.778085,72,1.353272836013275e-07,0.9999999403953552,-1.2926308912142304e-08,3800000.0,13300000.0,6.0,655.0,9600000.0,-0.1017402932047844,8600000.0,2600000.0,8.166215620386552e-11
Approved,0.997539,HIGH,Approved,LOW,Graduate,Self-Employed,5,5900000.0,16000000.0,6,798,36300000.0,2.711864,296413.4,0.602875,72,5.0,0.9999999403953552,1.0,5900000.0,16000000.0,6.0,798.0,15900000.0,5000000.0,12300000.0,3100000.0,8.166215620386552e-11
Approved,0.986394,HIGH,Approved,LOW,Graduate,Self-Employed,4,9600000.0,30100000.0,12,870,50800000.0,3.135417,359718.53,0.449648,144,4.0,0.9999999403953552,1.0,9600000.0,30100000.0,12.0,870.0,300000.15625,6700000.0,38200000.0,5600000.0,8.166215620386552e-11
Approved,0.994762,HIGH,Approved,LOW,Graduate,Salaried,5,9300000.0,28300000.0,12,741,58100000.0,3.043011,338207.16,0.436396,144,5.0,0.9999999403953552,-1.2926308912142304e-08,9300000.0,28300000.0,12.0,741.0,7600000.0,12900000.0,32400002.0,5200000.0,8.166215620386552e-11
Rejected,0.001865,HIGH,Rejected,HIGH,Not Graduate,Self-Employed,0,4800000.0,13500000.0,10,319,33900000.0,2.8125,178403.5,0.446009,120,1.353272836013275e-07,-1.3684332778041153e-08,1.0,4800000.0,13500000.0,10.0,319.0,6800000.0,8300000.0,13700000.0,5100000.0,8.166215620386552e-11
Approved,0.990752,HIGH,Approved,LOW,Not Graduate,Self-Employed,5,2300000.0,9100000.0,16,644,16300000.0,3.956522,95177.08,0.496576,192,5.0,-1.3684332778041153e-08,1.0,2300000.0,9100000.0,16.0,644.0,4000000.0,2600000.0,6600000.5,3100000.0,8.166215620386552e-11
Rejected,0.006673,HIGH,Rejected,HIGH,Not Graduate,Self-Employed,5,7600000.0,18000000.0,12,452,40700000.0,2.368421,215114.1,0.339654,144,5.0,-1.3684332778041153e-08,1.0,7600000.0,18000000.0,12.0,452.0,7900000.0,4300000.0,23800000.0,4700000.0,8.166215620386552e-11
Rejected,0.134666,HIGH,Rejected,HIGH,Not Graduate,Self-Employed,5,7500000.0,26500000.0,12,512,49100000.0,3.533333,316695.75,0.506713,144,5.0,-1.3684332778041153e-08,1.0,7500000.0,26500000.0,12.0,512.0,16500000.0,2900000.0,23700000.0,6000000.0,8.166215620386552e-11
Approved,0.990617,HIGH,Approved,LOW,Not Graduate,Salaried,0,4100000.0,14400000.0,4,844,22800000.0,3.512195,365221.2,1.06894,48,1.353272836013275e-07,-1.3684332778041153e-08,-1.2926308912142304e-08,4100000.0,14400000.0,4.0,844.0,2700000.25,6000000.0,9900000.0,4200000.0,8.166215620386552e-11
Rejected,0.071548,HIGH,Rejected,HIGH,Graduate,Self-Employed,1,4300000.0,9400000.0,6,543,31600000.0,2.186046,174142.88,0.48598,72,1.0,0.9999999403953552,1.0,4300000.0,9400000.0,6.0,543.0,7400000.0,5200000.0,14800000.0,4200000.0,8.166215620386552e-11
Approved,0.978999,HIGH,Approved,LOW,Not Graduate,Self-Employed,2,1400000.0,4600000.0,4,804,10000000.0,3.285714,116667.88,1.00001,48,2.0,-1.3684332778041153e-08,1.0,1400000.0,4600000.0,4.0,804.0,1900000.125,2200000.25,5199999.5,700000.1875,8.166215620386552e-11
Rejected,0.028017,HIGH,Rejected,HIGH,Not Graduate,Salaried,3,500000.1875,1000000.8125,20,501,2699999.25,2.000001,9650.22,0.231605,240,3.0,-1.3684332778041153e-08,-1.2926308912142304e-08,500000.1875,1000000.8125,20.0,501.0,799999.6875,800000.125,899999.3125,200000.21875,8.166215620386552e-11
Rejected,0.00085,HIGH,Rejected,HIGH,Graduate,Self-Employed,0,5400000.0,10900000.0,20,366,30000000.0,2.018518,105187.37,0.23375,240,1.353272836013275e-07,0.9999999403953552,1.0,5400000.0,10900000.0,20.0,366.0,3700000.0,499999.90625,21000000.0,4800000.0,8.166215620386552e-11
Approved,0.884656,HIGH,Approved,LOW,Graduate,Salaried,5,4700000.0,17400000.0,2,523,33700000.0,3.702128,802921.7,2.050013,24,5.0,0.9999999403953552,-1.2926308912142304e-08,4700000.0,17400000.0,2.000000238418579,523.0,10600000.0,7000000.0,10900000.0,5200000.0,8.166215620386552e-11
Approved,0.988565,HIGH,Approved,LOW,Graduate,Self-Employed,1,3800000.0,11100000.0,6,760,18300000.0,2.921053,205636.8,0.649379,72,1.0,0.9999999403953552,1.0,3800000.0,11100000.0,6.0,760.0,2100000.25,1799999.875,8700000.0,5700000.0,8.166215620386552e-11
Rejected,0.001261,HIGH,Rejected,HIGH,Not Graduate,Salaried,1,5100000.0,11800000.0,12,314,39600000.0,2.313726,141019.23,0.33181,144,1.0,-1.3684332778041153e-08,-1.2926308912142304e-08,5100000.0,11800000.0,12.0,314.0,14700000.0,7600000.0,12400000.0,4900000.0,8.166215620386552e-11
